name,link,status
Rainbow Scratch Paper Art Big,https://www.amazon.com/Qxnew-Scratch-Rainbow-Art-Kids/dp/B086GW7YLD/ref=psdc_165795011_t3_B088T1Z2BL?th=1,404
Silicone mushroom funnel,https://www.amazon.com/Silicone-Mushroom-Funnel，Deal-Bottles，Kitchen-Dishwasher/dp/B0CX18DN3Q,404
Absorbent kitchen towel,https://www.amazon.com.au/Zerodeko-Hangable-Microfiber-Cleaning-Absorbent/dp/B0C9GB4MYS,404
Comb knife,https://swordsswords.com/secure-cosmetics-discrete-comb-knife-pink/,403
Car door latch step,https://www.amazon.com/EKEPIN-Universal-Access-Rooftop-Truck/dp/B0CHV9Y8MB?th=1,404
Circuit Kits Circuit Blocks Board for Kids,https://www.amazon.com/VELIYAKA-Electronics-Exploration-Projects-Educational/dp/B0CBC2RNTS,404
Double Shoes Rack Organizer,https://www.amazon.com/LONGLUAN-Adjustable-Double-Layer-Brackets-Organizer/dp/B0CCDSZDZW,404
Mason Jar Sealer Electric,https://www.amazon.com/Electric-Digital-Cordless-Writable-Fermentation/dp/B0CNXZN7TZ/ref=sr_1_5?crid=WQXUV1G37CDP&keywords=electric+canning+supplies&qid=1706996483&sprefix=electric+canning+supplies%2Caps%2C214&sr=8-5,404
Adjustable extra rack,https://shopee.com.my/product/895346275/18384412445?utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_12331210008&utm_term=akefjf3i2951,403
Rubber Frying Pan Anti-Scalding Hot Handle Protector,https://shopee.com.br/product/1053723367/25956500841?utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_18397840003&utm_term=ajdx5w6go7ps,403
Gold Plated Paperclip Link Chain Earrings,https://www.etsy.com/listing/1551792337/sergi-skrepki-eltoe-zoloto-14-karat?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=paperclip+earrings&ref=sr_gallery-1-27&organic_search_click=1,403
Portable Camping Shower,https://www.fruugo.ie/portable-shower-camping-shower-outdoor-showerbuilt-in-4800mah-batteryelectric-handheld-rechargeable-showerpumps-water-into-shower-stream/p-145989857-307878028?language=en,403
Bear Necklace,https://kinnstudio.com/products/oliver-teddy-bear-necklace,404
Phone microscope,https://www.apexeloptic.com/product/200x-phone-microscope-lens/,403
Ліхтарик,https://www.coolgadget.com/collections/outdoors/products/outdoor-super-bright-2000lm-flashlight,404
Лазерна та цифрова рулетка 3-в-1,https://www.coolgadget.com/collections/all-products/products/3-in-1-laser-and-digital-tape-measure,404
Світлодіодний акумуляторний міні-багатофункціональний ліхтарик з електричною запальничкою,https://www.coolgadget.com/collections/outdoors/products/self-defense-rechargeable-flashlight-with-electric-lighter,404
Магнітна лампа,https://www.coolgadget.com/products/magnetic-levitating-lamp?utm_source=bio&utm_medium=c8ke&utm_campaign=lamp,404
Міні-електричний повітряний насос,https://www.coolgadget.com/collections/all-products/products/mini-electric-air-pump,404
Акамулятори,https://www.coolgadget.com/collections/electronics/products/type-c-rechargeable-lithium-ion-battery,404
